Combination,Binding_Entity,Antigen,Seed,Approx_DeltaG_kcal_per_mol,Prodigy_DeltaG_kcal_per_mol,Contacts,Model_Path,Antibody_Type,Is_Scaled
nbalb_8y9t_alb,nbalb_8y9t,alb,1,-42.6,-9.4,426,results\model_directory\fold_nbalb_8y9t_alb_seed_1_model_0.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,1,-60.800000000000004,-10.8,608,results\model_directory\fold_nbalb_8y9t_alb_seed_1_model_1.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,1,-44.0,-8.1,440,results\model_directory\fold_nbalb_8y9t_alb_seed_1_model_2.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,1,-69.9,-11.1,699,results\model_directory\fold_nbalb_8y9t_alb_seed_1_model_3.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,1,-18.3,-7.4,183,results\model_directory\fold_nbalb_8y9t_alb_seed_1_model_4.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,10,-51.400000000000006,-10.5,514,results\model_directory\fold_nbalb_8y9t_alb_seed_10_model_0.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,10,-30.5,-7.8,305,results\model_directory\fold_nbalb_8y9t_alb_seed_10_model_1.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,10,-68.5,-12.6,685,results\model_directory\fold_nbalb_8y9t_alb_seed_10_model_2.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,10,-34.7,-9.1,347,results\model_directory\fold_nbalb_8y9t_alb_seed_10_model_3.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,10,-41.2,-10.2,412,results\model_directory\fold_nbalb_8y9t_alb_seed_10_model_4.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,2,-37.1,-8.7,371,results\model_directory\fold_nbalb_8y9t_alb_seed_2_model_0.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,2,-56.0,-10.1,560,results\model_directory\fold_nbalb_8y9t_alb_seed_2_model_1.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,2,-39.6,-9.0,396,results\model_directory\fold_nbalb_8y9t_alb_seed_2_model_2.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,2,-25.200000000000003,-7.6,252,results\model_directory\fold_nbalb_8y9t_alb_seed_2_model_3.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,2,-26.1,-8.2,261,results\model_directory\fold_nbalb_8y9t_alb_seed_2_model_4.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,3,-65.60000000000001,-12.4,656,results\model_directory\fold_nbalb_8y9t_alb_seed_3_model_0.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,3,-36.800000000000004,-8.2,368,results\model_directory\fold_nbalb_8y9t_alb_seed_3_model_1.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,3,-21.200000000000003,-6.7,212,results\model_directory\fold_nbalb_8y9t_alb_seed_3_model_2.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,3,-44.5,-10.0,445,results\model_directory\fold_nbalb_8y9t_alb_seed_3_model_3.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,3,-34.7,-8.5,347,results\model_directory\fold_nbalb_8y9t_alb_seed_3_model_4.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,4,-29.200000000000003,-8.4,292,results\model_directory\fold_nbalb_8y9t_alb_seed_4_model_0.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,4,-53.300000000000004,-12.2,533,results\model_directory\fold_nbalb_8y9t_alb_seed_4_model_1.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,4,-33.6,-8.1,336,results\model_directory\fold_nbalb_8y9t_alb_seed_4_model_2.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,4,-68.0,-12.3,680,results\model_directory\fold_nbalb_8y9t_alb_seed_4_model_3.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,4,-28.700000000000003,-7.9,287,results\model_directory\fold_nbalb_8y9t_alb_seed_4_model_4.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,5,-32.300000000000004,-9.0,323,results\model_directory\fold_nbalb_8y9t_alb_seed_5_model_0.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,5,-59.5,-10.9,595,results\model_directory\fold_nbalb_8y9t_alb_seed_5_model_1.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,5,-39.1,-8.7,391,results\model_directory\fold_nbalb_8y9t_alb_seed_5_model_2.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,5,-45.300000000000004,-10.1,453,results\model_directory\fold_nbalb_8y9t_alb_seed_5_model_3.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,5,-28.200000000000003,-8.4,282,results\model_directory\fold_nbalb_8y9t_alb_seed_5_model_4.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,6,-48.900000000000006,-9.5,489,results\model_directory\fold_nbalb_8y9t_alb_seed_6_model_0.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,6,-52.6,-9.8,526,results\model_directory\fold_nbalb_8y9t_alb_seed_6_model_1.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,6,-21.900000000000002,-6.8,219,results\model_directory\fold_nbalb_8y9t_alb_seed_6_model_2.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,6,-47.800000000000004,-7.7,478,results\model_directory\fold_nbalb_8y9t_alb_seed_6_model_3.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,6,-55.900000000000006,-11.0,559,results\model_directory\fold_nbalb_8y9t_alb_seed_6_model_4.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,7,-79.10000000000001,-14.2,791,results\model_directory\fold_nbalb_8y9t_alb_seed_7_model_0.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,7,-74.2,-13.5,742,results\model_directory\fold_nbalb_8y9t_alb_seed_7_model_1.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,7,-40.800000000000004,-8.7,408,results\model_directory\fold_nbalb_8y9t_alb_seed_7_model_2.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,7,-58.1,-11.0,581,results\model_directory\fold_nbalb_8y9t_alb_seed_7_model_3.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,7,-50.0,-10.9,500,results\model_directory\fold_nbalb_8y9t_alb_seed_7_model_4.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,8,-55.900000000000006,-10.8,559,results\model_directory\fold_nbalb_8y9t_alb_seed_8_model_0.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,8,-40.7,-10.6,407,results\model_directory\fold_nbalb_8y9t_alb_seed_8_model_1.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,8,-33.1,-10.0,331,results\model_directory\fold_nbalb_8y9t_alb_seed_8_model_2.cif,1,False
nbalb_8y9t_alb,nbalb_8y9t,alb,8,-77.60000000000001,-11.1,776,results\model_directory\fold_nbalb_8y9t_alb_seed_8_model_3.cif,1,False
