Binding_Entity,Antigen,Combination,Center_Position_MSE_Top,Center_Position_MSE_Weighted,Num_Models,Antibody_Type
nbalb_8y9t,alb,nbalb_8y9t_alb,356.92056,450.93571900725624,50,1
nbalb_8y9t,gfp,nbalb_8y9t_gfp,0.43731818,176.58280729332728,25,1
nbalb_8y9t,lys,nbalb_8y9t_lys,20.502602,92.36153041314152,25,1
nbalb_8y9t,mcherry,nbalb_8y9t_mcherry,221.55542,236.73627602312385,25,1
nbalb_8y9t,sars,nbalb_8y9t_sars,44.368347,179.32016885787917,25,1
nbgfp_6xzf,alb,nbgfp_6xzf_alb,247.36809,485.51225470261505,50,1
nbgfp_6xzf,gfp,nbgfp_6xzf_gfp,0.27855965,104.48267158592023,50,1
nbgfp_6xzf,lys,nbgfp_6xzf_lys,96.17179,124.4278041313576,50,1
nbgfp_6xzf,mcherry,nbgfp_6xzf_mcherry,0.5370128,240.4640614243458,50,1
nbgfp_6xzf,sars,nbgfp_6xzf_sars,52.410595,157.88680388911982,50,1
nblys_1mel,alb,nblys_1mel_alb,268.1287,388.4328905465757,50,1
nblys_1mel,gfp,nblys_1mel_gfp,70.66864,240.3198614317711,50,1
nblys_1mel,lys,nblys_1mel_lys,0.23570667,78.57366862506592,50,1
nblys_1mel,mcherry,nblys_1mel_mcherry,282.9387,318.8762194014751,50,1
nblys_1mel,sars,nblys_1mel_sars,113.6168,174.4381774280167,50,1
nbmcherry_8im0,alb,nbmcherry_8im0_alb,83.57177,562.8262822063543,50,1
nbmcherry_8im0,gfp,nbmcherry_8im0_gfp,12.672409,227.44001995634457,25,1
nbmcherry_8im0,lys,nbmcherry_8im0_lys,154.23656,204.36497213580387,25,1
nbmcherry_8im0,mcherry,nbmcherry_8im0_mcherry,0.07035572,140.44618991528026,25,1
nbmcherry_8im0,sars,nbmcherry_8im0_sars,59.17914,202.61372699281517,25,1
nbsars_7f5h,alb,nbsars_7f5h_alb,517.1067,457.80897884731104,50,1
nbsars_7f5h,gfp,nbsars_7f5h_gfp,101.463806,197.94076867938293,50,1
nbsars_7f5h,lys,nbsars_7f5h_lys,108.778076,129.2900625584801,50,1
nbsars_7f5h,mcherry,nbsars_7f5h_mcherry,110.32407,192.10619000910916,50,1
nbsars_7f5h,sars,nbsars_7f5h_sars,2.7441607,127.57287688818228,50,1
