Combination,Binding_Entity,Antigen,Antibody_Type,Num_Models,Mean_Approx_DeltaG_kcal_per_mol,Std_Approx_DeltaG_kcal_per_mol,Mean_Prodigy_DeltaG_kcal_per_mol,Std_Prodigy_DeltaG_kcal_per_mol,Mean_Contacts,Std_Contacts,Center_Position_MSE
nbalb_8y9t_alb,nbalb_8y9t,alb,1,50,-44.538000000000004,15.631063917202612,-9.578000000000001,1.7545614022557645,445.38,156.3106391720261,356.92056
nbalb_8y9t_gfp,nbalb_8y9t,gfp,1,25,-40.308,5.6993362186603225,-9.5,0.57227615711298,403.08,56.993362186603214,0.43731818
nbalb_8y9t_lys,nbalb_8y9t,lys,1,25,-45.084,9.029289377723291,-11.5,1.6347782724271815,450.84,90.29289377723292,20.502602
nbalb_8y9t_mcherry,nbalb_8y9t,mcherry,1,25,-42.2,7.411758675690047,-9.888,1.247437373177507,422.0,74.11758675690047,221.55542
nbalb_8y9t_sars,nbalb_8y9t,sars,1,25,-46.968,9.163638287638086,-11.316,1.2921816177818553,469.68,91.63638287638085,44.368347
nbgfp_6xzf_alb,nbgfp_6xzf,alb,1,50,-45.742000000000004,22.956428026918775,-10.104000000000001,1.85933496998584,457.42,229.56428026918775,247.36809
nbgfp_6xzf_gfp,nbgfp_6xzf,gfp,1,50,-51.077999999999996,2.39133555033285,-8.642,0.36145397990869693,510.78,23.9133555033285,0.27855965
nbgfp_6xzf_lys,nbgfp_6xzf,lys,1,50,-31.854,6.1697157014513,-9.59,0.8079326098387271,318.54,61.69715701451301,96.17179
nbgfp_6xzf_mcherry,nbgfp_6xzf,mcherry,1,50,-39.824,6.799056357093885,-10.838000000000001,1.2812446117358078,398.24,67.99056357093885,0.5370128
nbgfp_6xzf_sars,nbgfp_6xzf,sars,1,50,-43.73799999999999,9.882718166949159,-11.927999999999997,1.266207578816784,437.38,98.8271816694916,52.410595
nblys_1mel_alb,nblys_1mel,alb,1,50,-63.842000000000006,25.298488218121832,-11.238000000000001,2.0667326081206996,638.42,252.9848821812183,268.1287
nblys_1mel_gfp,nblys_1mel,gfp,1,50,-32.23800000000001,7.7927986118006185,-9.448,1.0445661143972356,322.38,77.92798611800617,70.66864
nblys_1mel_lys,nblys_1mel,lys,1,50,-43.67400000000001,1.5861402259341801,-11.233999999999998,0.24210808852785629,436.74,15.861402259341796,0.23570667
nblys_1mel_mcherry,nblys_1mel,mcherry,1,50,-38.830000000000005,9.085966977618142,-9.746,1.329755232962757,388.3,90.85966977618142,282.9387
nblys_1mel_sars,nblys_1mel,sars,1,50,-51.47,13.05749061743832,-12.349999999999998,1.685502407992032,514.7,130.57490617438322,113.6168
nbmcherry_8im0_alb,nbmcherry_8im0,alb,1,50,-34.798,13.987596400426506,-8.578,1.1667659821673142,347.98,139.87596400426503,83.57177
nbmcherry_8im0_gfp,nbmcherry_8im0,gfp,1,25,-23.944000000000003,6.739688420097773,-7.9079999999999995,0.9703607576566562,239.44,67.39688420097772,12.672409
nbmcherry_8im0_lys,nbmcherry_8im0,lys,1,25,-24.812,8.544311948113007,-8.616,0.948981910610875,248.12,85.44311948113007,154.23656
nbmcherry_8im0_mcherry,nbmcherry_8im0,mcherry,1,25,-44.06800000000001,2.7736438127488543,-9.876,0.7827728491288727,440.68,27.73643812748854,0.07035572
nbmcherry_8im0_sars,nbmcherry_8im0,sars,1,25,-30.283999999999995,8.789751608170356,-9.728000000000002,1.0628264204469138,302.84,87.89751608170356,59.17914
nbsars_7f5h_alb,nbsars_7f5h,alb,1,50,-52.833999999999996,16.454484036212115,-10.034,1.7239738148492032,528.34,164.5448403621211,517.1067
nbsars_7f5h_gfp,nbsars_7f5h,gfp,1,50,-36.056000000000004,6.764105745079113,-9.927999999999999,1.2138721984977308,360.56,67.64105745079111,101.463806
nbsars_7f5h_lys,nbsars_7f5h,lys,1,50,-32.634,5.552223676609403,-9.73,1.0412414097938039,326.34,55.52223676609404,108.778076
nbsars_7f5h_mcherry,nbsars_7f5h,mcherry,1,50,-35.646,6.448325522243455,-8.824,0.9065656206198182,356.46,64.48325522243454,110.32407
nbsars_7f5h_sars,nbsars_7f5h,sars,1,50,-45.20799999999999,9.716740026093829,-11.286,1.232222150657676,452.08,97.16740026093828,2.7441607
